Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score
S. 3660,115,11/27/2018,Democratic,control,1.0
H.R. 5785,115,05/11/2018,Democratic,control,1.0
S. 2987,115,06/05/2018,Republican,control,1.0
S. 1519,115,07/10/2017,Republican,control,1.0
H.R. 2810,115,06/07/2017,Republican,control,1.0
H.R. 244,115,01/04/2017,Republican,control,1.0
H.Res. 1082,115,09/26/2018,Republican,control,1.0
H.R. 6063,115,06/08/2018,Republican,control,1.0
H.R. 3354,115,07/21/2017,Republican,control,1.0
S.Res. 720,115,12/11/2018,Democratic,rights,0.9904
H.Res. 755,115,02/27/2018,Democratic,rights,-0.9928
H.Res. 1094,115,09/27/2018,Democratic,rights,-0.8316
H.R. 3578,115,07/28/2017,Democratic,rights,-0.9854
S.Res. 460,115,04/12/2018,Democratic,rights,0.9907
H.Res. 896,115,05/15/2018,Democratic,rights,0.9907
H.Res. 704,115,01/18/2018,Democratic,rights,-0.9972
S.Res. 308,115,10/26/2017,Democratic,rights,-0.9825
S. 3135,115,06/26/2018,Republican,rights,-0.0772
H.R. 2980,115,06/21/2017,Republican,rights,0.9811
H.R. 34,115,01/03/2017,Republican,rights,0.9062
S. 2486,115,03/01/2018,Republican,rights,0.9062
H.R. 367,115,01/09/2017,Republican,rights,0.9715
S. 59,115,01/09/2017,Republican,rights,0.9715
S. 162,115,01/17/2017,Republican,rights,0.9712
H.R. 1537,115,03/15/2017,Republican,rights,0.9781
S. 1397,115,06/21/2017,Republican,rights,0.8126
H.R. 1976,115,04/06/2017,Republican,rights,0.8126
H.R. 6624,115,07/26/2018,Republican,rights,0.9759
S. 159,115,01/17/2017,Republican,rights,-0.7624
S.Res. 345,115,11/30/2017,Republican,rights,-0.2366
S. 618,115,03/14/2017,Republican,rights,0.8006
H.R. 358,115,01/06/2017,Republican,rights,-0.9595
H.Con.Res. 41,115,03/29/2017,Republican,rights,0.9324
S. 394,115,02/15/2017,Republican,rights,0.9821
H.R. 256,115,01/04/2017,Republican,rights,0.9821
H.Res. 648,115,12/07/2017,Republican,rights,0.5034
H.R. 6263,115,06/28/2018,Republican,rights,-0.9798
S. 3166,115,06/28/2018,Republican,rights,-0.9798
S.Res. 745,115,01/02/2019,Republican,rights,-0.836
H.R. 1142,115,02/16/2017,Republican,rights,0.9497
S. 352,115,02/13/2017,Republican,rights,0.9497
H.R. 2620,115,05/24/2017,Republican,rights,0.9904
S.Res. 354,115,12/07/2017,Republican,rights,-0.9972
S. 1435,115,06/26/2017,Republican,rights,0.9923
H.R. 3054,115,06/26/2017,Republican,rights,0.9923
H.R. 2496,115,05/17/2017,Republican,rights,0.9999
H.R. 1407,115,03/07/2017,Republican,rights,0.9983
H.R. 3668,115,09/01/2017,Republican,rights,1.0
H.R. 5952,115,05/24/2018,Republican,rights,1.0
S. 1771,115,09/07/2017,Republican,rights,1.0
S. 3158,115,06/28/2018,Republican,rights,1.0
H.R. 6470,115,07/23/2018,Republican,rights,1.0
S. 3159,115,06/28/2018,Republican,rights,0.9978
H.R. 6136,115,06/19/2018,Republican,rights,1.0
H.R. 1625,115,03/20/2017,Republican,rights,1.0
