Name,Session,Date of Introduction,Party of Sponsors,Classification
H.Res. 1013,116,06/22/2020,Republican,rights
H.R. 2443,116,05/01/2019,Republican,rights
H.Res. 536,116,08/02/2019,Republican,rights
S.J.Res. 26,116,05/14/2019,Republican,rights
S. 3139,116,12/19/2019,Republican,rights
H.R. 175,116,01/03/2019,Republican,rights
H.Res. 29,116,01/08/2019,Republican,rights
S.Res. 11,116,01/08/2019,Republican,rights
H.R. 5935,116,02/21/2020,Republican,rights
H.R. 2251,116,04/10/2019,Republican,rights
H.R. 775,116,01/24/2019,Republican,rights
S. 202,116,01/24/2019,Republican,rights
H.R. 5875,116,02/12/2020,Republican,rights
S. 1757,116,06/10/2019,Republican,rights
S. 3493,116,03/12/2020,Republican,rights
H.R. 5301,116,12/04/2019,Republican,rights
S. 1506,116,05/16/2019,Republican,rights
H.Res. 1036,116,07/01/2020,Republican,rights
H.Res. 678,116,11/01/2019,Republican,rights
S. 1390,116,05/09/2019,Republican,rights
H.Res. 439,116,06/12/2019,Republican,rights
S.Res. 635,116,06/22/2020,Republican,rights
H.R. 5002,116,11/08/2019,Republican,rights
H.Res. 997,116,06/11/2020,Republican,rights
H.R. 8837,116,12/02/2020,Republican,rights
H.Res. 334,116,04/30/2019,Republican,rights
H.J.Res. 81,116,12/16/2019,Republican,rights
H.R. 1156,116,02/13/2019,Republican,rights
S.Res. 499,116,02/13/2020,Republican,rights
H.R. 1908,116,03/27/2019,Republican,rights
S. 642,116,03/04/2019,Republican,rights
H.R. 38,116,01/03/2019,Republican,rights
H.Res. 1023,116,06/25/2020,Republican,rights
S. 4049,116,06/23/2020,Republican,rights
H.R. 2745,116,05/15/2019,Democratic,rights
H.R. 1893,116,03/26/2019,Democratic,rights
S. 697,116,03/07/2019,Democratic,rights
S. 1215,116,04/11/2019,Republican,rights
S. 2474,116,09/12/2019,Republican,rights
H.R. 2740,116,05/15/2019,Democratic,rights
