Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score,TextBlob Sentiment Score
H.R. 2280,117,03/29/2021,Democratic,control,-0.9496,0.05203252032520324
H.R. 137,117,01/04/2021,Democratic,control,-0.991,-0.02452380952380952
H.R. 4271,117,06/30/2021,Democratic,control,-0.9271,0.07369791666666663
H.R. 167,117,01/04/2021,Democratic,control,-0.9175,0.03703703703703704
S. 4238,117,05/17/2022,Democratic,control,-0.998,0.014419475655430707
S. 2320,117,07/13/2021,Democratic,control,-0.9271,0.07369791666666663
H.R. 5764,117,10/28/2021,Democratic,control,-0.9779,-0.11666666666666667
S. 3117,117,10/28/2021,Democratic,control,-0.9779,-0.12142857142857143
H.R. 4225,117,06/29/2021,Democratic,control,-0.872,0.015873015873015872
H.R. 5245,117,09/14/2021,Democratic,control,-0.9894,-0.0014124293785310721
S. 2319,117,07/13/2021,Democratic,control,-0.872,0.015873015873015872
H.R. 6717,117,02/11/2022,Democratic,control,-0.9625,0.12271505376344083
H.R. 6370,117,01/10/2022,Democratic,control,0.8893,0.09694444444444449
H.R. 545,117,01/28/2021,Democratic,control,0.9291,0.055519480519480524
H.R. 8278,117,07/01/2022,Democratic,control,-0.9376,-0.033333333333333326
H.Res. 1192,117,06/21/2022,Democratic,control,0.9824,0.14299242424242425
H.R. 881,117,02/05/2021,Democratic,control,-0.9466,0.05
H.R. 125,117,01/04/2021,Democratic,control,-0.991,0.103420523138833
H.R. 5436,117,09/30/2021,Democratic,control,-0.9751,0.023809523809523808
S. 1155,117,04/15/2021,Democratic,control,-0.9992,0.05621940364931019
S. 4149,117,05/05/2022,Democratic,control,-0.9684,0.12271505376344083
H.R. 3536,117,05/25/2021,Democratic,control,0.9678,-0.023095238095238085
S. 1801,117,05/25/2021,Democratic,control,0.9723,-0.023095238095238085
H.R. 8534,117,07/27/2022,Democratic,control,-0.9948,0.031049783549783546
H.R. 5878,117,11/04/2021,Democratic,control,-0.9909,0.03768221574344022
H.R. 3509,117,05/25/2021,Democratic,control,0.9978,0.056584062196307086
S. 1825,117,05/25/2021,Democratic,control,0.9978,0.056584062196307086
H.R. 4804,117,07/29/2021,Democratic,control,0.5267,0.00681818181818182
H.R. 882,117,02/05/2021,Democratic,control,-0.9543,0.2106878306878307
H.Res. 1153,117,06/07/2022,Democratic,control,0.9649,-0.06962233169129722
H.R. 30,117,01/04/2021,Democratic,control,-0.9983,0.024934895833333335
H.R. 1441,117,02/26/2021,Democratic,control,0.9849,0.06456639566395668
H.R. 3143,117,05/12/2021,Democratic,control,0.9141,-0.016176470588235292
H.R. 8871,117,09/15/2022,Democratic,control,0.9959,0.1881788665879575
H.R. 7910,117,05/31/2022,Democratic,control,0.9997,0.10603844023738392
H.R. 3299,117,05/18/2021,Democratic,control,-0.2893,0.04214326362213686
H.R. 3252,117,05/14/2021,Democratic,control,0.3885,0.06517857142857143
H.R. 8460,117,07/21/2022,Democratic,control,0.8894,0.13287438807298613
S. 4582,117,07/21/2022,Democratic,control,0.8894,0.13287438807298613
H.R. 647,117,02/01/2021,Democratic,control,-0.2808,0.05357142857142857
S. 1558,117,05/11/2021,Democratic,control,-0.991,0.04997190309690311
H.R. 3088,117,05/11/2021,Democratic,control,-0.991,0.04997190309690311
H.R. 5678,117,10/22/2021,Democratic,control,0.867,0.040624999999999994
H.R. 4836,117,07/29/2021,Democratic,control,0.9385,0.07729166666666666
H.R. 1494,117,03/02/2021,Democratic,control,-0.9854,0.11402116402116401
H.R. 4888,117,07/30/2021,Democratic,control,-0.9906,0.03278925619834711
H.Res. 275,117,03/26/2021,Democratic,control,-0.9988,-0.06945767195767197
S. 527,117,03/02/2021,Democratic,control,-0.9886,0.11402116402116401
H.R. 2427,117,04/08/2021,Democratic,control,0.9915,0.06208874458874458
S.Res. 199,117,04/29/2021,Democratic,control,-0.9884,-0.07972821203953279
H.R. 7859,117,05/19/2022,Democratic,control,-0.9971,0.07060745584264749
H.R. 8,117,03/01/2021,Democratic,control,-0.9796,0.05119047619047619
H.R. 1952,117,03/16/2021,Democratic,control,-0.9933,0.04756613756613756
S.Res. 140,117,03/25/2021,Democratic,control,-0.9933,-0.09011656746031745
H.Res. 981,117,03/15/2022,Democratic,control,-0.9993,-0.20649224806201563
S. 2873,117,09/28/2021,Democratic,control,0.9976,0.04039351851851851
S. 4606,117,07/25/2022,Democratic,control,0.7673,-0.06845238095238095
H.R. 4118,117,06/24/2021,Democratic,control,-0.9999,0.049138398914518336
S. 2982,117,10/07/2021,Democratic,control,0.9935,0.11430107526881723
H.R. 5035,117,08/13/2021,Democratic,control,0.9901,0.11523035230352306
S. 2275,117,06/24/2021,Democratic,control,-0.9999,0.049138398914518336
H.R. 1008,117,02/11/2021,Democratic,control,0.9982,0.04821802935010478
H.R. 130,117,01/04/2021,Democratic,control,0.9645,0.10452380952380953
S. 591,117,03/04/2021,Democratic,control,0.6808,0.2333333333333333
H.R. 1004,117,02/11/2021,Democratic,control,0.7242,0.16818181818181818
H.R. 135,117,01/04/2021,Democratic,control,-0.8788,-0.15925925925925927
H.R. 4992,117,08/10/2021,Democratic,control,0.9807,0.10032051282051282
S. 2725,117,09/13/2021,Democratic,control,-0.9924,0.04592198581560284
H.R. 7819,117,05/18/2022,Democratic,control,-0.9924,0.04592198581560284
H.Res. 820,117,11/23/2021,Democratic,control,-0.9996,0.019771181199752626
H.R. 1782,117,03/10/2021,Democratic,control,0.5859,0.13333333333333333
H.R. 5427,117,09/29/2021,Democratic,control,-0.984,0.05924242424242424
S. 529,117,03/02/2021,Democratic,control,-0.9723,0.06020833333333334
H.R. 6225,117,12/09/2021,Democratic,control,-0.9995,0.08559936452917381
H.Res. 1414,117,09/30/2022,Democratic,control,-0.9875,0.03791643139469227
H.Res. 1425,117,10/04/2022,Democratic,control,-0.575,0.12521212121212122
H.Res. 715,117,10/08/2021,Democratic,control,-0.7024,0.13239766081871346
H.R. 7904,117,05/27/2022,Democratic,control,0.8658,0.175
S. 190,117,02/03/2021,Democratic,control,-0.9726,0.05117224880382775
H.R. 748,117,02/03/2021,Democratic,control,-0.9726,0.05117224880382775
H.R. 8741,117,08/23/2022,Democratic,control,-0.982,0.02320413540910435
H.Res. 1317,117,08/12/2022,Democratic,control,0.8862,0.20689393939393944
H.R. 8740,117,08/23/2022,Democratic,control,-0.9975,-0.003311818703384968
S.Res. 711,117,07/14/2022,Democratic,control,-0.972,0.012166666666666643
H.R. 5428,117,09/29/2021,Democratic,control,-0.9934,0.017188574665210184
S. 2908,117,09/30/2021,Democratic,control,0.9875,0.0851190476190476
H.R. 5465,117,09/30/2021,Democratic,control,0.9875,0.0851190476190476
H.R. 4139,117,06/24/2021,Democratic,control,-0.9994,0.0454844006568145
S. 2169,117,06/22/2021,Democratic,control,-0.9994,0.0454844006568145
S. 4162,117,05/09/2022,Democratic,control,-0.9875,0.013665076420178467
H.R. 9441,117,12/06/2022,Democratic,control,-0.9931,0.0013207547169811296
H.Res. 927,117,02/15/2022,Democratic,control,0.9915,0.26233888888888884
H.R. 3432,117,05/20/2021,Democratic,control,0.4707,-0.05783132530120483
H.R. 7537,117,04/18/2022,Democratic,control,0.6209,-0.0048245614035087704
H.R. 1446,117,03/01/2021,Democratic,control,-0.9957,0.007271944922547334
H.Res. 1229,117,07/14/2022,Democratic,control,0.7872,0.09842789723937265
H.R. 1111,117,02/18/2021,Democratic,control,1.0,0.08392856609991017
H.R. 3015,117,05/07/2021,Democratic,control,0.9839,-0.009310134310134313
H.R. 5768,117,10/28/2021,Democratic,control,-0.4115,0.03759240759240759
H.R. 8271,117,07/01/2022,Democratic,control,0.9873,0.10531914893617018
S. 4402,117,06/14/2022,Democratic,control,0.9981,0.026408808582721623
S.Res. 771,117,09/19/2022,Democratic,control,0.9858,0.12234848484848486
S.Res. 775,117,09/20/2022,Democratic,control,-0.9987,-0.13295454545454546
H.R. 4136,117,06/24/2021,Democratic,control,0.9955,0.17687500000000003
H.Res. 1363,117,09/19/2022,Democratic,control,0.9858,0.12234848484848486
H.R. 7730,117,05/11/2022,Democratic,control,-0.9887,0.0020218971122585574
S. 4184,117,05/11/2022,Democratic,control,-0.9887,0.0020218971122585574
H.Res. 226,117,03/11/2021,Democratic,control,-0.9999,0.06860168672369621
H.Res. 798,117,11/17/2021,Democratic,control,-0.9994,0.05863095238095238
H.Res. 1522,117,12/14/2022,Democratic,control,-0.9973,-0.18601010101010104
H.R. 8914,117,09/20/2022,Democratic,control,-0.994,0.024519586104951956
H.R. 9539,117,12/14/2022,Democratic,control,0.9987,-0.004576314774334577
S. 4278,117,05/19/2022,Democratic,control,0.818,0.044875505757858675
H.R. 276,117,01/12/2021,Democratic,control,0.9986,-0.004761904761904757
S. 597,117,03/04/2021,Democratic,control,0.9995,0.05106257378984654
S. 388,117,02/23/2021,Democratic,control,0.9926,0.01181073481716569
H.R. 2716,117,04/21/2021,Democratic,control,0.9926,0.01181073481716569
H.R. 5762,117,10/27/2021,Democratic,control,-0.9999,0.032469622179988056
S. 2029,117,06/10/2021,Democratic,control,0.9997,0.04687943151971925
H.R. 3836,117,06/11/2021,Democratic,control,0.9997,0.04687943151971925
H.R. 1642,117,03/08/2021,Republican,control,-0.9937,-0.01375430956269283
H.Res. 1478,117,11/16/2022,Republican,control,-0.3818,0.05389610389610389
S. 4376,117,06/09/2022,Republican,control,-0.9927,0.07684240362811792
H.R. 9001,117,09/28/2022,Republican,control,0.9953,0.08438027693346847
H.R. 6817,117,02/22/2022,Republican,control,-0.9251,0.04845238095238094
S. 788,117,03/17/2021,Republican,control,0.9931,0.053636363636363635
S. 292,117,02/08/2021,Republican,control,-0.9998,0.016657591890511133
S. 1775,117,05/20/2021,Republican,control,-0.9998,0.009843975468975466
S. 1373,117,04/27/2021,Republican,control,0.6808,0.09102564102564102
H.R. 2890,117,04/28/2021,Republican,control,0.8455,0.09861111111111111
H.R. 1787,117,03/11/2021,Republican,control,0.1197,-0.015625
H.Res. 1227,117,07/14/2022,Republican,control,-0.9996,-0.1839219576719577
S.Res. 636,117,05/16/2022,Republican,control,-0.9996,-0.1839219576719577
S.J.Res. 49,117,06/06/2022,Republican,control,0.9061,-0.0739107142857143
S.J.Res. 52,117,06/07/2022,Republican,control,0.9312,-0.058922857142857145
H.R. 1604,117,03/08/2021,Republican,control,-0.9971,-0.06666666666666665
H.R. 8009,117,06/09/2022,Republican,control,0.998,0.1264652014652015
S.Res. 874,117,12/19/2022,Republican,control,-0.955,-0.09822361546499483
S.Res. 610,117,05/03/2022,Republican,control,-0.9318,-0.07336031548360321
H.Res. 1238,117,07/20/2022,Republican,control,-0.9864,-0.01669789227166276
H.R. 8882,117,09/19/2022,Republican,control,-0.9997,0.01561587301587301
H.R. 1808,117,03/11/2021,Democratic,control,-0.9999,0.10816119637937834
S. 736,117,03/11/2021,Democratic,control,-0.9999,0.10800850001579941
H.R. 1280,117,02/24/2021,Democratic,control,0.9995,0.03283253935092419
S. 2938,117,10/05/2021,Republican,control,0.9986,0.08007285521054425
H.R. 9624,117,12/20/2022,Democratic,control,-1.0,0.07650881980068729
S. 5299,117,12/19/2022,Democratic,control,-1.0,0.07650881980068729
H.R. 1620,117,03/08/2021,Democratic,control,-1.0,0.10941962303687139
H.R. 4432,117,07/15/2021,Democratic,control,1.0,0.03430190912205278
S. 2792,117,09/22/2021,Democratic,control,1.0,0.024479146487649605
S. 4543,117,07/18/2022,Democratic,control,1.0,0.012860256818609292
H.R. 7585,117,04/26/2022,Democratic,control,1.0,0.06504119088994796
S. 4486,117,06/23/2022,Democratic,control,1.0,0.06595870894733535
H.R. 7900,117,05/27/2022,Democratic,control,1.0,0.03462993710854308
H.R. 4350,117,07/02/2021,Democratic,control,1.0,0.029580904816482102
H.Res. 1512,117,12/08/2022,Democratic,control,1.0,0.03707199686211769
H.R. 4502,117,07/19/2021,Democratic,control,1.0,0.07336289710488367
S. 2747,117,09/14/2021,Democratic,control,1.0,0.04734535816747344
H.R. 5746,117,10/27/2021,Democratic,control,1.0,0.048768385470159235
H.R. 2617,117,04/16/2021,Democratic,control,1.0,0.07067842661989455
H.R. 2471,117,04/13/2021,Democratic,control,1.0,0.07088466583356837
H.R. 3684,117,06/04/2021,Democratic,control,1.0,0.10283743288321191
S. 1605,117,05/13/2021,Republican,control,1.0,0.025470410475324133
H.R. 3096,117,05/11/2021,Democratic,rights,0.5267,0.05892857142857143
S. 4259,117,05/19/2022,Democratic,rights,-0.9971,0.07060745584264749
H.R. 6722,117,02/15/2022,Democratic,rights,-0.9638,0.07499999999999998
H.R. 6313,117,12/16/2021,Democratic,rights,-0.7242,-0.02666666666666667
H.R. 6990,117,03/08/2022,Democratic,rights,0.9782,0.08044217687074828
H.R. 8023,117,06/09/2022,Democratic,rights,0.9998,0.007366409632034623
H.Res. 403,117,05/17/2021,Democratic,rights,0.7783,-0.1321969696969697
S.Res. 668,117,06/09/2022,Democratic,rights,0.9974,0.05092592592592593
H.R. 3577,117,05/28/2021,Democratic,rights,-0.9828,0.06771582529456546
H.Res. 543,117,07/20/2021,Democratic,rights,0.9987,0.18306595365418898
H.Res. 1242,117,07/20/2022,Democratic,rights,0.9935,0.17241910631741136
S. 1073,117,04/12/2021,Democratic,rights,0.9993,0.08134920634920638
H.R. 2226,117,03/26/2021,Democratic,rights,0.9993,0.08134920634920638
H.Res. 662,117,09/20/2021,Democratic,rights,-0.9996,-0.10842911877394634
S.Res. 241,117,05/26/2021,Democratic,rights,-0.9999,0.011524609529790869
S.Res. 267,117,06/10/2021,Democratic,rights,0.9978,0.06025641025641026
H.Res. 319,117,04/14/2021,Democratic,rights,-0.997,-0.005025252525252524
H.Res. 103,117,02/05/2021,Democratic,rights,-0.9965,0.0025064474532559616
H.Res. 438,117,05/25/2021,Democratic,rights,-0.9996,0.030873826680015624
H.Res. 489,117,06/22/2021,Democratic,rights,0.9995,0.1734711128016567
H.Res. 1198,117,06/22/2022,Democratic,rights,0.9996,0.16856730571016287
S.Res. 609,117,05/03/2022,Democratic,rights,-0.9999,-0.011182710219073855
H.R. 1827,117,03/11/2021,Republican,rights,-0.0772,-0.05000000000000002
S. 702,117,03/11/2021,Republican,rights,-0.0772,-0.05000000000000002
H.R. 7366,117,04/01/2022,Republican,rights,-0.9683,-0.023484848484848483
H.R. 7466,117,04/07/2022,Republican,rights,0.9442,0.042816091954022986
S. 4029,117,04/07/2022,Republican,rights,0.9442,0.042816091954022986
H.R. 6950,117,03/07/2022,Republican,rights,0.9003,0.04598214285714285
H.Res. 1479,117,11/16/2022,Republican,rights,0.8885,0.01726190476190476
H.R. 1132,117,02/18/2021,Republican,rights,0.9022,0.10178571428571428
H.R. 7493,117,04/11/2022,Republican,rights,0.9811,0.15476190476190477
H.R. 6945,117,03/07/2022,Republican,rights,-0.8374,0.002272727272727272
H.Res. 388,117,05/12/2021,Republican,rights,-0.9777,0.058730158730158716
H.R. 7973,117,06/07/2022,Republican,rights,0.9893,0.07815276828434722
H.R. 1534,117,03/03/2021,Republican,rights,-0.9853,0.09017857142857144
H.R. 2830,117,04/22/2021,Republican,rights,0.8787,-0.05714285714285715
S. 1916,117,05/27/2021,Republican,rights,-0.9853,0.09017857142857144
H.R. 993,117,02/11/2021,Republican,rights,0.4939,0.06000000000000001
H.R. 7415,117,04/06/2022,Republican,rights,0.9062,0.1846153846153846
H.R. 8997,117,09/28/2022,Republican,rights,0.8937,0.03035714285714286
H.R. 7908,117,05/27/2022,Republican,rights,0.8271,0.2375
S. 4501,117,07/11/2022,Republican,rights,0.7544,0.011968537414965981
H.R. 38,117,01/04/2021,Republican,rights,0.7544,0.011968537414965981
H.R. 3960,117,06/17/2021,Republican,rights,0.9999,0.1862291379574337
H.R. 1961,117,03/17/2021,Republican,rights,0.9939,0.06283643892339544
S. 1920,117,05/27/2021,Republican,rights,0.9925,0.0682712215320911
H.Res. 1293,117,07/28/2022,Republican,rights,0.95,0.15964912280701754
H.R. 8374,117,07/14/2022,Republican,rights,0.9471,0.046875
H.R. 7944,117,06/03/2022,Republican,rights,0.9804,0.11220744309453988
H.R. 225,117,01/06/2021,Republican,rights,-0.9595,0.057479296066252586
S. 525,117,03/02/2021,Republican,rights,0.8973,0.049873353596757854
H.R. 1680,117,03/09/2021,Republican,rights,0.741,0.04623015873015873
S. 1872,117,05/27/2021,Republican,rights,-0.9522,0.06111872994335682
S. 1101,117,04/13/2021,Republican,rights,0.9898,0.17253694581280787
S. 4986,117,09/28/2022,Republican,rights,-0.9618,0.027908163265306114
H.R. 2469,117,04/13/2021,Republican,rights,0.9843,0.15636160714285713
H.R. 1013,117,02/11/2021,Republican,rights,0.9821,0.09814814814814815
H.R. 9033,117,09/29/2022,Republican,rights,-0.969,0.013095238095238087
S.Res. 802,117,09/28/2022,Republican,rights,-0.9665,-0.13653846153846155
H.Res. 53,117,01/19/2021,Republican,rights,0.9295,0.0663095238095238
H.Res. 1532,117,12/27/2022,Republican,rights,-0.9999,0.038891106000480985
H.Res. 1436,117,10/14/2022,Republican,rights,0.9917,0.06274791992877098
H.Res. 327,117,04/19/2021,Republican,rights,-0.996,-0.07986111111111112
H.R. 1691,117,03/09/2021,Republican,rights,0.9964,0.03316236422064646
S.Res. 118,117,03/16/2021,Republican,rights,0.9949,0.07686765615337043
H.Res. 205,117,03/09/2021,Republican,rights,0.9963,0.07640397481306571
H.R. 1210,117,02/23/2021,Republican,rights,0.994,0.04884920634920634
S. 1610,117,05/13/2021,Republican,rights,0.9937,0.042897497982243744
S. 5082,117,11/14/2022,Republican,rights,0.9667,0.011388888888888891
S. 4435,117,06/21/2022,Republican,rights,0.9224,0.0450487012987013
H.R. 2567,117,04/15/2021,Republican,rights,0.9117,0.05624242424242423
S. 1134,117,04/15/2021,Republican,rights,0.9497,0.05624242424242423
H.R. 6970,117,03/08/2022,Republican,rights,0.9224,0.041666666666666664
S.Res. 741,117,08/03/2022,Republican,rights,-0.9959,-0.011278841433480607
H.R. 7309,117,03/31/2022,Democratic,rights,1.0,0.09841211564228
H.R. 8256,117,06/30/2022,Democratic,rights,1.0,0.06922932196009157
S. 4659,117,07/28/2022,Democratic,rights,1.0,0.07550546307713465
H.R. 8295,117,07/05/2022,Democratic,rights,1.0,0.07522979132733337
H.R. 4505,117,07/19/2021,Democratic,rights,1.0,0.06783034926238848
S. 3062,117,10/25/2021,Democratic,rights,1.0,0.07586854291423162
H.R. 7776,117,05/16/2022,Democratic,rights,1.0,0.03671196687620266
