Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score,TextBlob Sentiment Score
H.R. 4199,113,03/11/2014,Republican,rights,0.962,-0.0010869565217391326
H.R. 5315,113,07/31/2014,Republican,rights,-0.2185,0.0008163265306122455
H.Res. 732,113,09/17/2014,Republican,rights,-0.9795,-0.0409047619047619
H.Res. 35,113,01/18/2013,Republican,rights,-0.9986,0.007746979388770442
H.Res. 635,113,06/20/2014,Republican,rights,-0.9069,-0.030500000000000013
S. 1908,113,01/09/2014,Republican,rights,0.9322,-0.02773809523809524
H.R. 578,113,02/06/2013,Republican,rights,0.953,-0.02773809523809524
S. 2128,113,03/13/2014,Republican,rights,0.9505,-0.0011363636363636387
H.Res. 134,113,03/21/2013,Republican,rights,0.9719,0.0488095238095238
S.Res. 69,113,03/07/2013,Republican,rights,0.9901,0.0681809163059163
H.Res. 40,113,01/22/2013,Republican,rights,0.9286,0.0037349687349687377
H.Res. 106,113,03/12/2013,Republican,rights,0.9901,0.0681809163059163
H.R. 449,113,02/01/2013,Republican,rights,0.9923,0.019216954022988515
H.R. 3335,113,10/23/2013,Republican,rights,0.9759,0.1438095238095238
H.R. 5747,113,11/20/2014,Republican,rights,0.9961,0.022308488612836436
H.R. 5647,113,09/18/2014,Republican,rights,0.8313,0.036298035298035304
H.R. 673,113,02/13/2013,Republican,rights,-0.9956,0.020286345598845595
H.R. 4495,113,04/28/2014,Republican,rights,1.0,0.018779812954341266
H.R. 755,113,02/15/2013,Republican,rights,-0.8718,0.07764329384066228
H.R. 3895,113,01/16/2014,Republican,rights,1.0,0.04613202792732987
S. 2289,113,05/05/2014,Democratic,rights,1.0,0.03172386014895651
S. 1034,113,05/23/2013,Democratic,rights,1.0,0.031060362906902905
S. 2410,113,06/02/2014,Democratic,rights,1.0,0.030968044043485562
H.R. 1860,113,05/07/2013,Republican,rights,-1.0,-0.008688061316304254
